GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app-manager,org.molgenis.app.manager.exception,AppIsInactiveException,0,27,0,0,0,5,0,3,0,3
app-manager,org.molgenis.app.manager.exception,AppForURIDoesNotExistException,8,12,0,0,1,4,1,2,1,2
app-manager,org.molgenis.app.manager.exception,InvalidAppConfigException,0,7,0,0,0,3,0,2,0,2
app-manager,org.molgenis.app.manager.exception,AppArchiveMissingFilesException,0,27,0,0,0,5,0,3,0,3
app-manager,org.molgenis.app.manager.exception,InvalidAppArchiveException,0,17,0,0,0,4,0,2,0,2
app-manager,org.molgenis.app.manager.exception,AppForIDDoesNotExistException,8,12,0,0,1,4,1,2,1,2
app-manager,org.molgenis.app.manager.exception,AppConfigMissingParametersException,0,27,0,0,0,5,0,3,0,3
app-manager,org.molgenis.app.manager.config,AppManagerConfig,8,0,0,0,2,0,2,0,2,0
app-manager,org.molgenis.app.manager.controller,AppManagerController,0,46,0,0,0,16,0,7,0,7
app-manager,org.molgenis.app.manager.controller,AppController,9,229,5,13,2,40,4,13,0,8
app-manager,org.molgenis.app.manager.meta,AppFactory,6,0,0,0,2,0,1,0,1,0
app-manager,org.molgenis.app.manager.meta,AppMetadata,160,0,0,0,24,0,2,0,2,0
app-manager,org.molgenis.app.manager.meta,App,118,0,0,0,40,0,25,0,25,0
app-manager,org.molgenis.app.manager.model,AutoValue_AppResponse,159,207,28,20,31,43,25,13,1,13
app-manager,org.molgenis.app.manager.model,AppConfig,70,24,0,0,15,8,8,8,8,8
app-manager,org.molgenis.app.manager.model,AppResponse,0,27,0,0,0,4,0,2,0,2
app-manager,org.molgenis.app.manager.service.impl,AppManagerServiceImpl,5,486,1,29,2,106,1,27,0,13
